Date,Open,High,Low,Close
2018-02-20,33915.72,33989.67,33862.40,33924.50
2018-02-21,33963.83,33968.54,33912.01,33923.78
2018-02-22,33939.31,33948.94,33804.15,33901.48
2018-02-23,33978.17,33978.39,33918.09,33971.78
2018-02-26,33883.82,33954.60,33832.43,33915.75
2018-02-27,33957.49,34056.33,33949.54,34011.52
2018-02-28,34076.73,34088.95,33934.17,34000.56
2018-03-01,33984.19,34067.44,33913.68,33980.89
2018-03-02,33912.34,33940.98,33852.11,33906.07
2018-03-05,33846.66,33908.67,33774.48,33860.02
2018-03-06,33904.77,33932.18,33860.07,33881.08
2018-03-07,33867.81,33982.75,33856.83,33902.82
2018-03-08,33965.25,33988.78,33819.99,33912.09
2018-03-09,34010.32,34053.35,33906.59,33978.55
2018-03-12,34012.10,34094.00,33898.13,33971.07
2018-03-13,33897.93,33955.65,33799.34,33900.49
2018-03-14,33881.52,33884.76,33795.86,33857.57
2018-03-15,33907.77,33927.49,33892.89,33888.48
2018-03-16,33791.95,33880.53,33694.23,33807.76
2018-03-19,33807.29,33904.02,33717.51,33817.56
2018-03-20,33725.12,33865.78,33699.62,33806.13
2018-03-21,33756.87,33816.06,33739.68,33771.11
2018-03-22,33698.76,33781.88,33568.71,33694.07
2018-03-23,33628.76,33670.32,33618.39,33657.91
2018-03-26,33678.07,33709.61,33569.49,33657.34
2018-03-27,33731.20,33760.76,33615.06,33712.47
2018-03-28,33671.39,33717.15,33556.61,33635.88
2018-03-29,33561.58,33605.99,33425.32,33539.14
2018-03-30,33513.32,33591.50,33418.29,33524.22
2018-04-02,33466.54,33515.83,33436.10,33499.68
2018-04-03,33452.70,33478.35,33418.74,33427.89
2018-04-04,33475.07,33480.41,33409.27,33466.82
2018-04-05,33440.49,33573.34,33374.91,33487.96
2018-04-06,33577.63,33638.84,33463.01,33547.47
2018-04-09,33516.71,33543.31,33422.34,33473.17
2018-04-10,33514.21,33535.73,33514.03,33530.53
2018-04-11,33598.20,33704.78,33465.92,33591.55
2018-04-12,33564.10,33654.90,33418.50,33521.49
2018-04-13,33485.97,33618.69,33413.13,33514.76
2018-04-16,33430.96,33497.49,33370.38,33451.16
2018-04-17,33432.59,33549.64,33355.79,33454.33
2018-04-18,33492.28,33541.50,33425.86,33503.04
2018-04-19,33562.42,33581.52,33436.49,33522.91
2018-04-20,33597.19,33693.06,33480.82,33585.05
2018-04-23,33533.98,33642.64,33415.93,33523.91
2018-04-24,33477.91,33491.10,33376.37,33457.01
2018-04-25,33542.00,33640.27,33535.57,33592.20
2018-04-26,33606.24,33682.67,33472.63,33581.22
2018-04-27,33557.46,33584.33,33527.34,33545.03
2018-04-30,33620.60,33719.33,33514.42,33605.11
2018-05-01,33554.44,33681.39,33515.00,33590.06
2018-05-02,33667.77,33679.32,33643.62,33651.33
2018-05-03,33622.70,33714.53,33493.72,33626.11
2018-05-04,33600.33,33679.33,33486.78,33569.79
2018-05-07,33560.76,33695.45,33435.09,33570.74
2018-05-08,33610.68,33622.23,33594.51,33608.09
2018-05-09,33575.97,33638.11,33541.15,33611.17
2018-05-10,33670.22,33678.06,33621.56,33655.25
2018-05-11,33640.62,33770.64,33581.39,33660.59
2018-05-14,33640.79,33757.84,33599.86,33682.00
2018-05-15,33737.82,33744.50,33655.38,33699.11
2018-05-16,33654.44,33659.34,33569.63,33604.47
2018-05-17,33680.92,33797.73,33658.49,33730.12
2018-05-18,33667.67,33697.00,33661.81,33664.23
2018-05-21,33568.53,33669.60,33560.46,33616.94
2018-05-22,33560.20,33611.45,33499.88,33579.55
2018-05-23,33493.50,33537.04,33481.24,33511.85
2018-05-24,33580.38,33647.28,33565.49,33619.51
2018-05-25,33663.23,33682.54,33552.55,33612.26
2018-05-28,33672.16,33694.01,33626.78,33664.08
2018-05-29,33595.93,33657.65,33550.23,33611.47
2018-05-30,33702.38,33796.29,33594.09,33692.56
2018-05-31,33762.33,33790.60,33699.28,33731.29
2018-06-01,33805.62,33835.45,33659.80,33746.28
2018-06-04,33831.79,33882.05,33809.06,33853.24
2018-06-05,33796.59,33912.07,33665.74,33775.77
2018-06-06,33762.32,33801.88,33735.53,33784.67
2018-06-07,33726.30,33832.69,33580.69,33686.08
2018-06-08,33590.27,33605.57,33507.48,33543.17
2018-06-11,33529.90,33634.42,33508.71,33567.58
2018-06-12,33629.43,33730.29,33578.78,33636.66
2018-06-13,33575.74,33614.85,33534.89,33598.01
2018-06-14,33683.33,33766.19,33630.82,33680.61
2018-06-15,33724.36,33742.28,33697.06,33701.71
2018-06-18,33797.16,33946.10,33690.46,33796.81
2018-06-19,33754.54,33760.13,33663.06,33695.90
2018-06-20,33784.08,33878.41,33705.41,33776.95
2018-06-21,33837.73,33905.79,33745.01,33817.28
2018-06-22,33871.96,33887.48,33797.18,33856.52
2018-06-25,33877.30,33923.87,33730.98,33821.85
2018-06-26,33833.83,33938.57,33746.81,33843.07
2018-06-27,33909.41,34024.02,33888.90,33938.01
2018-06-28,33931.79,33936.94,33798.04,33888.27
2018-06-29,33910.14,33934.15,33828.73,33876.39
2018-07-02,33798.80,33947.19,33787.78,33850.41
2018-07-03,33850.17,33870.58,33814.48,33846.53
2018-07-04,33777.38,33917.96,33652.07,33765.36
2018-07-05,33819.96,33935.98,33721.69,33816.35
2018-07-06,33750.83,33841.02,33622.38,33737.04
2018-07-09,33697.84,33771.19,33626.95,33713.34
2018-07-10,33650.66,33714.21,33556.19,33637.82
2018-07-11,33711.05,33715.10,33626.16,33692.25
2018-07-12,33651.39,33686.47,33583.02,33652.83
2018-07-13,33676.68,33736.14,33674.41,33699.46
2018-07-16,33779.84,33789.36,33770.06,33763.21
2018-07-17,33747.48,33784.76,33650.56,33718.60
2018-07-18,33625.54,33701.33,33518.11,33633.66
2018-07-19,33581.18,33652.20,33568.78,33634.46
2018-07-20,33579.12,33676.54,33450.05,33551.09
2018-07-23,33475.25,33616.19,33422.06,33506.01
2018-07-24,33580.56,33607.16,33481.32,33531.75
2018-07-25,33547.10,33644.66,33444.97,33522.97
2018-07-26,33520.25,33584.46,33426.72,33501.71
2018-07-27,33489.91,33504.72,33460.44,33473.20
2018-07-30,33453.75,33488.87,33433.55,33443.78
2018-07-31,33418.59,33420.66,33281.09,33334.70
2018-08-01,33335.60,33456.99,33266.51,33359.28
2018-08-02,33275.67,33391.77,33154.82,33255.32
2018-08-03,33239.33,33363.02,33213.69,33264.25
2018-08-06,33299.82,33389.14,33274.11,33312.54
2018-08-07,33314.37,33448.30,33218.10,33331.19
2018-08-08,33271.07,33382.51,33235.96,33297.47
2018-08-09,33279.79,33331.72,33269.99,33294.33
2018-08-10,33370.44,33496.40,33340.38,33406.28
2018-08-13,33470.23,33588.22,33465.52,33532.96
2018-08-14,33605.89,33679.78,33509.01,33588.25
2018-08-15,33668.06,33692.09,33529.96,33596.23
2018-08-16,33500.69,33505.14,33411.13,33465.68
2018-08-17,33458.23,33590.71,33341.45,33474.03
2018-08-20,33410.07,33543.58,33261.45,33424.51
2018-08-21,33334.10,33361.28,33327.12,33327.89
2018-08-22,33344.32,33355.86,33261.80,33303.33
2018-08-23,33314.74,33343.67,33203.65,33266.96
2018-08-24,33357.48,33483.04,33235.87,33365.16
2018-08-27,33424.87,33504.98,33392.02,33471.16
2018-08-28,33537.22,33664.81,33441.97,33571.98
2018-08-29,33556.43,33695.46,33487.48,33571.96
2018-08-30,33654.56,33674.28,33505.90,33567.16
2018-08-31,33581.04,33644.54,33485.85,33567.54
2018-09-03,33585.46,33668.48,33483.14,33572.17
2018-09-04,33579.38,33702.57,33533.63,33637.79
2018-09-05,33737.02,33871.94,33731.85,33810.65
2018-09-06,33881.06,33999.13,33758.08,33855.32
2018-09-07,33922.31,33946.34,33823.05,33865.96
2018-09-10,33957.23,34023.79,33854.00,33936.73
2018-09-11,33908.15,33926.43,33803.19,33863.05
2018-09-12,33952.80,34002.11,33859.35,33922.02
2018-09-13,33876.56,33925.65,33850.83,33902.94
2018-09-14,33939.36,33954.06,33850.24,33926.32
2018-09-17,33893.96,33954.23,33884.95,33943.98
2018-09-18,33977.14,33990.25,33888.23,33961.44
2018-09-19,33908.30,33976.21,33766.03,33868.78
2018-09-20,33798.71,33943.91,33763.99,33834.75
2018-09-21,33871.27,33915.17,33782.12,33853.12
2018-09-24,33763.44,33810.94,33668.35,33731.75
2018-09-25,33739.30,33887.34,33608.58,33751.70
2018-09-26,33711.42,33830.12,33561.92,33692.38
2018-09-27,33667.07,33790.59,33643.95,33715.30
2018-09-28,33770.75,33895.21,33681.49,33809.35
2018-10-01,33770.96,33857.31,33697.23,33778.02
2018-10-02,33715.66,33744.11,33613.64,33682.67
2018-10-03,33716.91,33770.83,33678.64,33745.79
2018-10-04,33845.58,33970.48,33755.33,33879.25
2018-10-05,33852.69,33948.69,33811.74,33859.70
2018-10-08,33947.97,33971.73,33817.51,33903.18
2018-10-09,33810.62,33852.60,33781.90,33811.87
2018-10-10,33736.88,33759.54,33619.37,33676.35
2018-10-11,33595.88,33663.07,33537.28,33575.29
2018-10-12,33590.61,33632.34,33529.64,33556.54
2018-10-15,33464.90,33468.51,33408.17,33442.55
2018-10-16,33438.71,33446.79,33425.55,33437.96
2018-10-17,33443.27,33503.20,33423.70,33478.53
2018-10-18,33487.44,33637.14,33429.87,33509.60
2018-10-19,33470.84,33559.60,33390.93,33486.89
2018-10-22,33495.57,33539.59,33464.39,33518.25
2018-10-23,33577.28,33661.59,33484.84,33595.33
2018-10-24,33614.99,33704.17,33577.57,33628.10
2018-10-25,33635.85,33687.94,33572.75,33617.36
2018-10-26,33546.13,33567.92,33505.07,33529.65
2018-10-29,33581.26,33678.77,33579.97,33643.90
2018-10-30,33646.26,33758.68,33601.94,33687.81
2018-10-31,33658.24,33667.84,33648.40,33681.87
2018-11-01,33746.60,33815.98,33679.67,33748.65
2018-11-02,33757.19,33902.54,33719.90,33792.38
2018-11-05,33698.59,33798.54,33683.40,33749.36
2018-11-06,33656.78,33766.81,33585.81,33682.85
2018-11-07,33749.25,33775.75,33652.37,33696.32
2018-11-08,33624.67,33715.37,33505.76,33589.28
2018-11-09,33619.02,33694.32,33485.92,33573.41
2018-11-12,33490.52,33581.17,33414.67,33474.88
2018-11-13,33555.56,33627.80,33480.74,33536.03
2018-11-14,33463.63,33573.61,33449.97,33506.32
2018-11-15,33484.49,33533.02,33392.17,33480.89
2018-11-16,33569.45,33597.42,33502.66,33562.75
2018-11-19,33496.29,33543.17,33398.22,33472.60
2018-11-20,33560.57,33662.59,33415.16,33520.87
2018-11-21,33504.76,33542.69,33362.68,33475.06
2018-11-22,33513.73,33520.74,33513.32,33493.55
2018-11-23,33419.58,33517.54,33270.48,33388.72
2018-11-26,33372.56,33405.65,33298.64,33364.41
2018-11-27,33388.77,33396.49,33352.12,33387.01
2018-11-28,33298.52,33401.45,33289.31,33338.43
2018-11-29,33428.35,33557.90,33362.76,33466.81
2018-11-30,33408.48,33477.36,33300.95,33380.31
2018-12-03,33309.60,33365.80,33172.67,33255.78
2018-12-04,33265.82,33356.70,33183.17,33264.38
2018-12-05,33214.05,33222.45,33104.06,33144.90
2018-12-06,33194.52,33265.40,33132.35,33181.20
2018-12-07,33185.47,33220.05,33116.27,33165.69
2018-12-10,33173.10,33207.19,33124.71,33166.03
2018-12-11,33201.00,33305.06,33077.13,33179.55
2018-12-12,33256.00,33304.14,33118.76,33226.85
2018-12-13,33218.44,33220.12,33135.05,33199.93
2018-12-14,33274.28,33276.51,33163.25,33210.80
2018-12-17,33122.53,33230.91,33091.36,33183.63
2018-12-18,33277.09,33387.90,33206.75,33276.78
2018-12-19,33271.64,33391.89,33144.35,33280.28
2018-12-20,33317.36,33426.04,33251.32,33335.77
2018-12-21,33342.58,33345.33,33227.47,33265.59
2018-12-24,33233.91,33245.23,33226.56,33215.94
2018-12-25,33152.10,33206.09,33056.90,33130.62
2018-12-26,33094.38,33182.66,33061.44,33104.45
2018-12-27,33175.46,33240.84,33074.57,33133.69
2018-12-28,33089.41,33142.98,33034.66,33081.43
2018-12-31,33118.93,33238.88,33049.26,33144.11
